Date,Open,High,Low,Close,Adj Close,Volume
2021-06-01,1183.000000,1194.760010,1162.704956,1182.989990,1181.656372,3024210
2021-06-02,1170.900024,1186.000000,1170.155029,1182.359985,1181.026978,1834210
2021-06-03,1189.900024,1192.390015,1178.055054,1181.984985,1180.652466,1838160
2021-06-04,1185.500000,1219.000000,1178.500000,1215.564941,1214.194458,4107690
2021-06-07,1188.000000,1200.880005,1168.464966,1182.854980,1181.521484,5147270
2021-06-08,1190.000000,1190.000000,1167.000000,1173.310059,1171.987305,2896090
2021-06-09,1174.000000,1183.800049,1143.050049,1155.885010,1154.581787,3082860
2021-06-10,1155.099976,1220.800049,1150.035034,1199.310059,1197.957886,6299980
2021-06-11,1200.000000,1208.000000,1185.290039,1190.750000,1189.407593,3529940
2021-06-14,1185.099976,1201.500000,1167.165039,1192.614990,1191.270508,2887850
2021-06-15,1194.900024,1208.489990,1176.500000,1179.869995,1178.539917,3148410
2021-06-16,1181.000000,1198.500000,1177.500000,1185.614990,1184.278320,2475390
2021-06-17,1175.000000,1193.719971,1173.994995,1181.854980,1180.522583,2201700
2021-06-18,1186.000000,1210.000000,1172.084961,1199.935059,1198.582397,4895670
2021-06-21,1180.000000,1219.974976,1177.685059,1215.640015,1214.269531,2948530
2021-06-22,1219.900024,1226.599976,1208.099976,1213.165039,1211.797485,2749230
2021-06-23,1222.500000,1240.000000,1208.000000,1228.224976,1226.840332,3785550
2021-06-24,1228.224976,1239.599976,1216.500000,1233.324951,1231.934570,2785730
2021-06-25,1235.500000,1252.000000,1232.050049,1248.660034,1247.252319,2187170
2021-06-28,1250.000000,1251.959961,1232.000000,1237.790039,1236.394653,1655170
2021-06-29,1238.900024,1249.000000,1227.104980,1229.989990,1228.603271,1571780
2021-06-30,1234.599976,1236.954956,1206.500000,1210.905029,1209.539795,2315460
2021-07-01,1219.800049,1219.800049,1180.099976,1181.645020,1180.312744,3215210
2021-07-02,1196.900024,1196.900024,1165.099976,1175.045044,1173.720337,3554370
2021-07-05,1179.900024,1194.199951,1179.900024,1192.310059,1190.965820,1558690
2021-07-06,1189.000000,1228.234985,1187.130005,1209.079956,1207.716919,3205220
2021-07-07,1200.000000,1239.900024,1200.000000,1237.415039,1236.020020,4048000
2021-07-08,1232.000000,1245.000000,1224.000000,1233.390015,1232.298218,2066300
2021-07-09,1235.099976,1291.199951,1234.500000,1285.474976,1284.337036,7919220
2021-07-12,1288.895020,1294.540039,1273.895020,1290.890015,1289.747314,4091580
2021-07-13,1290.239990,1299.880005,1280.500000,1290.939941,1289.797241,2741810
2021-07-14,1286.250000,1303.300049,1285.150024,1299.119995,1297.970093,2401510
2021-07-15,1297.599976,1311.000000,1292.199951,1295.895020,1294.747803,1779910
2021-07-16,1295.895020,1302.500000,1272.574951,1274.569946,1273.441650,2527820
2021-07-19,1268.000000,1282.000000,1264.319946,1272.109985,1270.984009,1881970
2021-07-20,1272.500000,1277.099976,1253.655029,1259.714966,1258.599854,1451370
2021-07-22,1231.010010,1310.000000,1230.005005,1306.459961,1305.303467,5248770
2021-07-23,1304.400024,1324.395020,1294.505005,1320.119995,1318.951416,2898700
2021-07-26,1319.900024,1357.545044,1315.489990,1352.505005,1351.307861,4211700
2021-07-27,1353.114990,1384.494995,1350.314941,1380.785034,1379.562744,4134150
2021-07-28,1384.785034,1400.099976,1375.500000,1397.055054,1395.818359,3194930
2021-07-29,1396.000000,1492.500000,1394.010010,1459.905029,1458.612793,7105140
2021-07-30,1460.500000,1461.385010,1416.099976,1422.219971,1420.961060,3545430
2021-08-02,1437.500000,1439.994995,1408.255005,1412.515015,1411.264648,2647090
2021-08-03,1425.000000,1431.834961,1416.000000,1429.500000,1428.234619,2024300
2021-08-04,1428.994995,1448.500000,1415.609985,1418.719971,1417.464111,2831940
2021-08-05,1420.780029,1424.890015,1396.160034,1399.489990,1398.251221,2915270
2021-08-06,1407.000000,1410.869995,1397.500000,1400.564941,1399.325195,1374730
2021-08-09,1400.760010,1446.000000,1400.760010,1424.290039,1423.029297,3188650
2021-08-10,1427.000000,1433.375000,1400.400024,1403.650024,1402.407593,2063630
2021-08-11,1409.900024,1423.344971,1385.275024,1420.619995,1419.362549,2118500
2021-08-12,1421.000000,1438.000000,1413.000000,1434.069946,1432.800537,1609340
2021-08-13,1434.000000,1443.089966,1426.500000,1431.750000,1430.482666,1538430
2021-08-16,1431.640015,1460.699951,1430.900024,1454.930054,1453.642090,2432620
2021-08-17,1452.500000,1480.000000,1436.005005,1473.724976,1472.420532,2420690
2021-08-18,1473.724976,1523.800049,1473.670044,1500.635010,1499.306763,3917340
2021-08-20,1485.635010,1514.900024,1480.005005,1497.854980,1496.529175,2750520
2021-08-23,1514.800049,1542.000000,1506.500000,1527.189941,1525.838135,3266880
2021-08-24,1536.755005,1658.479980,1526.000000,1646.170044,1644.712891,12743930
2021-08-25,1654.500000,1679.900024,1585.000000,1590.439941,1589.032104,9745980
2021-08-26,1600.050049,1612.420044,1567.829956,1595.880005,1594.467407,6068820
2021-08-27,1608.000000,1625.194946,1578.005005,1619.560059,1618.126465,4414750
2021-08-30,1647.500000,1659.500000,1626.000000,1656.040039,1654.574097,3360380
2021-08-31,1650.000000,1720.000000,1642.824951,1714.875000,1713.357056,6521270
2021-09-01,1716.645020,1726.349976,1674.015015,1678.630005,1677.144165,4618430
2021-09-02,1686.500000,1690.000000,1661.000000,1670.324951,1668.846436,2768790
2021-09-03,1677.680054,1685.984985,1656.000000,1673.435059,1671.953735,2485550
2021-09-06,1683.500000,1696.895020,1667.500000,1674.699951,1673.217529,1769580
2021-09-07,1674.900024,1694.469971,1663.094971,1678.119995,1676.634521,1881930
2021-09-08,1676.000000,1688.895020,1652.900024,1656.074951,1654.609009,1909320
2021-09-09,1659.400024,1682.694946,1648.405029,1675.050049,1673.567261,1808160
2021-09-13,1674.000000,1699.400024,1658.000000,1693.819946,1692.320679,2166140
2021-09-14,1700.000000,1704.000000,1679.579956,1683.125000,1681.635132,1592270
2021-09-15,1685.125000,1698.199951,1680.199951,1682.890015,1681.400391,1231990
2021-09-16,1689.000000,1695.040039,1662.500000,1673.300049,1671.818848,1542090
2021-09-17,1684.000000,1749.900024,1675.005005,1684.020020,1682.529419,6549510
2021-09-20,1677.505005,1733.400024,1670.010010,1701.895020,1700.388550,3252040
